x-axis,1,2,F1
second,Volt,Volt,Volt
-25.00000E-06,-2.84522607177E+00,-14.61634433270E+00,+11.65976220369E+00
-24.97500E-06,-2.92562808096E+00,-14.61634433270E+00,+11.57980614901E+00
-24.95000E-06,-2.92562808096E+00,-15.01835438609E+00,+11.98141747713E+00
-24.92500E-06,-2.84522607177E+00,-14.61634433270E+00,+11.65976220369E+00
-24.90000E-06,-2.92562808096E+00,-14.61634433270E+00,+11.57980614901E+00
-24.87500E-06,-2.92562808096E+00,-14.61634433270E+00,+11.57980614901E+00
-24.85000E-06,-2.92562808096E+00,-14.21433427930E+00,+11.17819482088E+00
-24.82500E-06,-3.00603009015E+00,-14.61634433270E+00,+11.49985009432E+00
-24.80000E-06,-3.00603009015E+00,-14.61634433270E+00,+11.49985009432E+00
-24.77500E-06,-3.00603009015E+00,-14.61634433270E+00,+11.49985009432E+00
-24.75000E-06,-3.00603009015E+00,-14.61634433270E+00,+11.49985009432E+00
-24.72500E-06,-2.92562808096E+00,-14.21433427930E+00,+11.17819482088E+00
-24.70000E-06,-3.00603009015E+00,-15.01835438609E+00,+11.90146142244E+00
-24.67500E-06,-3.08643209934E+00,-14.61634433270E+00,+11.41989403963E+00
-24.65000E-06,-3.00603009015E+00,-15.01835438609E+00,+11.90146142244E+00
-24.62500E-06,-3.08643209934E+00,-15.01835438609E+00,+11.82150536776E+00
-24.60000E-06,-3.08643209934E+00,-15.01835438609E+00,+11.82150536776E+00
-24.57500E-06,-3.08643209934E+00,-14.61634433270E+00,+11.41989403963E+00
-24.55000E-06,-3.16683410853E+00,-14.61634433270E+00,+11.33993798495E+00
-24.52500E-06,-3.08643209934E+00,-15.01835438609E+00,+11.82150536776E+00
-24.50000E-06,-3.08643209934E+00,-14.61634433270E+00,+11.41989403963E+00
-24.47500E-06,-3.16683410853E+00,-14.61634433270E+00,+11.33993798494E+00
-24.45000E-06,-3.16683410853E+00,-15.01835438609E+00,+11.74154931306E+00
-24.42500E-06,-3.16683410853E+00,-14.61634433270E+00,+11.33993798494E+00
-24.40000E-06,-3.16683410853E+00,-14.61634433270E+00,+11.33993798494E+00
-24.37500E-06,-3.16683410853E+00,-14.61634433270E+00,+11.33993798494E+00
-24.35000E-06,-3.16683410853E+00,-15.01835438609E+00,+11.74154931307E+00
-24.32500E-06,-3.24723611772E+00,-14.61634433270E+00,+11.25998193026E+00
-24.30000E-06,-3.24723611772E+00,-14.61634433270E+00,+11.25998193026E+00
-24.27500E-06,-3.24723611772E+00,-14.61634433270E+00,+11.25998193026E+00
-24.25000E-06,-3.24723611772E+00,-14.61634433270E+00,+11.25998193026E+00
-24.22500E-06,-3.24723611772E+00,-14.61634433270E+00,+11.25998193026E+00
-24.20000E-06,-3.24723611772E+00,-14.61634433270E+00,+11.25998193026E+00
-24.17500E-06,-3.24723611772E+00,-14.61634433270E+00,+11.25998193026E+00
-24.15000E-06,-3.24723611772E+00,-14.61634433270E+00,+11.25998193026E+00
-24.12500E-06,-3.24723611772E+00,-14.61634433270E+00,+11.25998193026E+00
-24.10000E-06,-3.32763812691E+00,-14.61634433270E+00,+11.18002587557E+00
-24.07500E-06,-3.32763812691E+00,-14.21433427930E+00,+10.77841454744E+00
-24.05000E-06,-3.40804013610E+00,-14.61634433270E+00,+11.10006982088E+00
-24.02500E-06,-3.32763812691E+00,-14.61634433270E+00,+11.18002587557E+00
-24.00000E-06,-3.32763812691E+00,-14.21433427930E+00,+10.77841454744E+00
-23.97500E-06,-3.40804013610E+00,-14.61634433270E+00,+11.10006982088E+00
-23.95000E-06,-3.32763812691E+00,-14.21433427931E+00,+10.77841454745E+00
-23.92500E-06,-3.32763812691E+00,-14.21433427930E+00,+10.77841454744E+00
-23.90000E-06,-3.40804013610E+00,-14.61634433270E+00,+11.10006982088E+00
-23.87500E-06,-3.40804013610E+00,-14.21433427930E+00,+10.69845849276E+00
-23.85000E-06,-3.40804013610E+00,-14.21433427931E+00,+10.69845849277E+00
-23.82500E-06,-3.40804013610E+00,-14.21433427931E+00,+10.69845849277E+00
-23.80000E-06,-3.40804013610E+00,-14.21433427931E+00,+10.69845849277E+00
-23.77500E-06,-3.40804013610E+00,-14.21433427930E+00,+10.69845849276E+00
-23.75000E-06,-3.40804013610E+00,-14.21433427930E+00,+10.69845849276E+00
-23.72500E-06,-3.40804013610E+00,-14.21433427930E+00,+10.69845849276E+00
-23.70000E-06,-3.40804013610E+00,-14.21433427930E+00,+10.69845849276E+00
-23.67500E-06,-3.40804013610E+00,-14.21433427930E+00,+10.69845849276E+00
-23.65000E-06,-3.40804013610E+00,-14.21433427930E+00,+10.69845849276E+00
-23.62500E-06,-3.40804013610E+00,-14.61634433268E+00,+11.10006982087E+00
-23.60000E-06,-3.40804013610E+00,-13.81232422590E+00,+10.29684716463E+00
-23.57500E-06,-3.40804013610E+00,-13.81232422590E+00,+10.29684716463E+00
-23.55000E-06,-3.40804013610E+00,-14.21433427930E+00,+10.69845849276E+00
-23.52500E-06,-3.48844214529E+00,-14.21433427930E+00,+10.61850243807E+00
-23.50000E-06,-3.40804013610E+00,-13.81232422590E+00,+10.29684716463E+00
-23.47500E-06,-3.48844214529E+00,-13.81232422590E+00,+10.21689110994E+00
-23.45000E-06,-3.40804013610E+00,-14.21433427930E+00,+10.69845849276E+00
-23.42500E-06,-3.48844214529E+00,-13.81232422590E+00,+10.21689110994E+00
-23.40000E-06,-3.48844214529E+00,-13.41031417251E+00,+9.81527978182E+00
-23.37500E-06,-3.40804013610E+00,-13.81232422590E+00,+10.29684716463E+00
-23.35000E-06,-3.40804013610E+00,-13.41031417251E+00,+9.89523583651E+00
-23.32500E-06,-3.40804013610E+00,-13.81232422590E+00,+10.29684716463E+00
-23.30000E-06,-3.48844214529E+00,-13.41031417251E+00,+9.81527978182E+00
-23.27500E-06,-3.40804013610E+00,-13.41031417251E+00,+9.89523583651E+00
-23.25000E-06,-3.40804013610E+00,-13.41031417251E+00,+9.89523583651E+00
-23.22500E-06,-3.40804013610E+00,-13.41031417251E+00,+9.89523583651E+00
-23.20000E-06,-3.48844214529E+00,-13.81232422590E+00,+10.21689110994E+00
-23.17500E-06,-3.40804013610E+00,-13.41031417251E+00,+9.89523583651E+00
-23.15000E-06,-3.48844214529E+00,-13.41031417251E+00,+9.81527978182E+00
-23.12500E-06,-3.48844214529E+00,-13.41031417251E+00,+9.81527978182E+00
-23.10000E-06,-3.40804013610E+00,-13.41031417251E+00,+9.89523583651E+00
-23.07500E-06,-3.48844214529E+00,-13.00830411911E+00,+9.41366845369E+00
-23.05000E-06,-3.40804013610E+00,-13.00830411911E+00,+9.49362450838E+00
-23.02500E-06,-3.48844214528E+00,-13.00830411911E+00,+9.41366845370E+00
-23.00000E-06,-3.40804013610E+00,-13.00830411911E+00,+9.49362450838E+00
-22.97500E-06,-3.40804013610E+00,-13.00830411911E+00,+9.49362450838E+00
-22.95000E-06,-3.32763812691E+00,-12.60629406571E+00,+9.17196923494E+00
-22.92500E-06,-3.40804013610E+00,-13.00830411911E+00,+9.49362450838E+00
-22.90000E-06,-3.40804013610E+00,-13.00830411911E+00,+9.49362450838E+00
-22.87500E-06,-3.40804013610E+00,-12.60629406571E+00,+9.09201318026E+00
-22.85000E-06,-3.40804013610E+00,-12.60629406571E+00,+9.09201318026E+00
-22.82500E-06,-3.40804013610E+00,-12.60629406571E+00,+9.09201318026E+00
-22.80000E-06,-3.40804013610E+00,-12.20428401232E+00,+8.69040185213E+00
-22.77500E-06,-3.40804013610E+00,-12.20428401232E+00,+8.69040185213E+00
-22.75000E-06,-3.32763812691E+00,-12.20428401232E+00,+8.77035790682E+00
-22.72500E-06,-3.40804013610E+00,-12.20428401232E+00,+8.69040185213E+00
-22.70000E-06,-3.32763812691E+00,-12.20428401232E+00,+8.77035790682E+00
-22.67500E-06,-3.40804013610E+00,-11.80227395892E+00,+8.28879052401E+00
-22.65000E-06,-3.40804013610E+00,-12.20428401230E+00,+8.69040185211E+00
-22.62500E-06,-3.40804013610E+00,-11.80227395892E+00,+8.28879052401E+00
-22.60000E-06,-3.32763812691E+00,-11.80227395892E+00,+8.36874657869E+00
-22.57500E-06,-3.32763812691E+00,-11.80227395892E+00,+8.36874657869E+00
-22.55000E-06,-3.32763812691E+00,-12.20428401229E+00,+8.77035790680E+00
-22.52500E-06,-3.40804013610E+00,-11.80227395892E+00,+8.28879052401E+00
-22.50000E-06,-3.32763812691E+00,-11.40026390553E+00,+7.96713525057E+00
-22.47500E-06,-3.32763812691E+00,-11.40026390553E+00,+7.96713525057E+00
-22.45000E-06,-3.32763812691E+00,-11.40026390553E+00,+7.96713525057E+00
-22.42500E-06,-3.32763812691E+00,-11.40026390553E+00,+7.96713525057E+00
-22.40000E-06,-3.32763812691E+00,-10.99825385213E+00,+7.56552392244E+00
-22.37500E-06,-3.32763812691E+00,-11.40026390553E+00,+7.96713525057E+00
-22.35000E-06,-3.32763812691E+00,-10.99825385215E+00,+7.56552392247E+00
-22.32500E-06,-3.24723611772E+00,-11.40026390550E+00,+8.04709130523E+00
-22.30000E-06,-3.24723611772E+00,-10.99825385213E+00,+7.64547997713E+00
-22.27500E-06,-3.24723611772E+00,-10.99825385213E+00,+7.64547997713E+00
-22.25000E-06,-3.24723611772E+00,-10.59624379873E+00,+7.24386864901E+00
-22.22500E-06,-3.24723611772E+00,-10.59624379873E+00,+7.24386864901E+00
-22.20000E-06,-3.24723611772E+00,-10.59624379873E+00,+7.24386864901E+00
-22.17500E-06,-3.24723611772E+00,-10.59624379871E+00,+7.24386864898E+00
-22.15000E-06,-3.24723611772E+00,-10.59624379873E+00,+7.24386864901E+00
-22.12500E-06,-3.16683410853E+00,-10.19423374534E+00,+6.92221337557E+00
-22.10000E-06,-3.16683410853E+00,-10.59624379873E+00,+7.32382470369E+00
-22.07500E-06,-3.16683410853E+00,-10.59624379873E+00,+7.32382470369E+00
-22.05000E-06,-3.24723611772E+00,-10.19423374534E+00,+6.84225732089E+00
-22.02500E-06,-3.16683410853E+00,-9.79222369194E+00,+6.52060204744E+00
-22.00000E-06,-3.16683410853E+00,-9.79222369194E+00,+6.52060204744E+00
-21.97500E-06,-3.08643209935E+00,-9.79222369194E+00,+6.60055810213E+00
-21.95000E-06,-3.08643209934E+00,-9.79222369194E+00,+6.60055810213E+00
-21.92500E-06,-3.08643209934E+00,-9.79222369194E+00,+6.60055810213E+00
-21.90000E-06,-3.08643209934E+00,-9.39021363854E+00,+6.19894677401E+00
-21.87500E-06,-3.08643209934E+00,-9.39021363854E+00,+6.19894677401E+00
-21.85000E-06,-3.08643209934E+00,-9.39021363854E+00,+6.19894677401E+00
-21.82500E-06,-3.16683410853E+00,-9.39021363854E+00,+6.11899071932E+00
